"scenario","n","effect","confounded","depth_confound","m_min","m_abund","abund_logN_adjusted","abund_HC3_t","method","raw_power","raw_fpr","raw_nrej","bh_power","bh_fdr","bh_nrej","nFeat","nSignal","obsZero","structZero","n_na_p","n_rep"
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"abundance(AHC-LinDA).adj",0.777894736842105,0.0528368794326241,22.23,0.432631578947368,0.0562346882563601,8.77,160,19,0.3151796875,0.276932421875,0,100
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"abundance(AHC-LinDA).noAdj",0.747368421052632,0.0578014184397163,22.35,0.401578947368421,0.0622529729902021,8.3,160,19,0.3151796875,0.276932421875,0,100
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"obsTwo.depthCov",0.753157894736842,0.0490070921985816,21.22,0.42,0.0392944139194139,8.39,160,19,0.3151796875,0.276932421875,0,100
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"obsTwo.simple",0.762105263157895,0.0995035460992908,28.51,0.654736842105263,0.171112640756217,15.28,160,19,0.3151796875,0.276932421875,0,100
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(ACAT).adj",0.718421052631579,0.0573049645390071,21.73,0.353157894736842,0.058371003996004,7.19,160,19,0.3151796875,0.276932421875,0,100
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(ACAT).noAdj",0.688421052631579,0.0573049645390071,21.16,0.317368421052632,0.0548089826839827,6.49,160,19,0.3151796875,0.276932421875,0,100
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(Bonf-minP).adj",0.71,0.0559574468085106,21.38,0.348947368421053,0.0534397269397269,7.05,160,19,0.3151796875,0.276932421875,0,100
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"OMNIBUS(Bonf-minP).noAdj",0.683157894736842,0.0568085106382979,20.99,0.318421052631579,0.0558089826839827,6.51,160,19,0.3151796875,0.276932421875,0,100
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"oracle.prev.cov",0.05,0.0466666666666667,7.53,0,0,0,160,19,0.3151796875,0.276932421875,0,100
"abundance",160,0.8,FALSE,TRUE,3,5,TRUE,TRUE,"oracle.prev.noAdj",0.0352631578947368,0.0312765957446809,5.08,0,0.01,0.01,160,19,0.3151796875,0.276932421875,0.33,100
