"study_order","study_name","status","template_file","source_resource","sample_seed","n_stool_assay_samples","n_independent_stool_samples","n_samples","n_genera","n_eligible_genera","n_test_genera","package_version","PMID"
1,"MetaCardis_2020_a","ready","data/public_templates/MetaCardis_2020_a_genus_template.rds","2022-10-19.MetaCardis_2020_a.relative_abundance",202608211,1831,1831,200,168,89,30,"3.16.1","34880489"
2,"LifeLinesDeep_2016","ready","data/public_templates/LifeLinesDeep_2016_genus_template.rds","2021-03-31.LifeLinesDeep_2016.relative_abundance",202608212,1135,1135,200,166,87,30,"3.16.1","27126040"
3,"AsnicarF_2021","ready","data/public_templates/AsnicarF_2021_genus_template.rds","2021-03-31.AsnicarF_2021.relative_abundance",202608213,1098,1098,200,175,84,30,"3.16.1","33432175"
4,"ZeeviD_2015","ready","data/public_templates/ZeeviD_2015_genus_template.rds","2021-03-31.ZeeviD_2015.relative_abundance",202608214,900,900,200,185,95,30,"3.16.1","26590418"
5,"ShaoY_2019","ready","data/public_templates/ShaoY_2019_genus_template.rds","2021-03-31.ShaoY_2019.relative_abundance",202608215,1644,753,200,199,74,30,"3.16.1","31534227"
6,"YachidaS_2019","ready","data/public_templates/YachidaS_2019_genus_template.rds","2021-10-14.YachidaS_2019.relative_abundance",202608216,616,616,200,197,105,30,"3.16.1","31171880"
7,"SchirmerM_2016","ready","data/public_templates/SchirmerM_2016_genus_template.rds","2021-03-31.SchirmerM_2016.relative_abundance",202608217,471,471,200,159,78,30,"3.16.1","27984736"
8,"JieZ_2017","ready","data/public_templates/JieZ_2017_genus_template.rds","2021-10-14.JieZ_2017.relative_abundance",202608218,385,385,200,211,109,30,"3.16.1","29018189"
9,"QinJ_2012","ready","data/public_templates/QinJ_2012_genus_template.rds","2021-10-14.QinJ_2012.relative_abundance",202608219,363,363,200,213,94,30,"3.16.1","23023125"
10,"VilaAV_2018","ready","data/public_templates/VilaAV_2018_genus_template.rds","2021-03-31.VilaAV_2018.relative_abundance",202608220,355,355,200,178,87,30,"3.16.1","30567928"
