"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Acidaminococcus",0.285,0.3,0.27,30,27,6812
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Adlercreutzia",0.425,0.43,0.42,43,42,548
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Alistipes",0.94,0.95,0.93,95,93,55946
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Anaeromassilibacillus",0.29,0.33,0.25,33,25,193
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Anaerotignum",0.09,0.11,0.07,11,7,471
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Bacteroides",1,1,1,100,100,161821
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Bilophila",0.595,0.63,0.56,63,56,683
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Butyricimonas",0.6,0.67,0.53,67,53,1654
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Butyrivibrio",0.155,0.14,0.17,14,17,9718
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Christensenella",0.055,0.07,0.04,7,4,22
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Clostridium",0.66,0.62,0.7,62,70,4151
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Dielma",0.095,0.09,0.1,9,10,71
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Firmicutes_unclassified",0.85,0.89,0.81,89,81,10948
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Flavonifractor",0.74,0.77,0.71,77,71,2432
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Fusicatenibacter",0.91,0.87,0.95,87,95,6487
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Holdemania",0.3,0.32,0.28,32,28,151
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Hungatella",0.125,0.11,0.14,11,14,95
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Intestinibacter",0.175,0.13,0.22,13,22,142
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Klebsiella",0.13,0.14,0.12,14,12,1283
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Lactobacillus",0.25,0.22,0.28,22,28,441
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Lawsonibacter",0.67,0.73,0.61,73,61,1003
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Monoglobus",0.09,0.1,0.08,10,8,164
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Parabacteroides",0.945,0.96,0.93,96,93,30993
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Paraprevotella",0.36,0.34,0.38,34,38,2855
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Proteobacteria_unclassified",0.405,0.4,0.41,40,41,3177
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Ruminococcaceae_unclassified",0.72,0.77,0.67,77,67,13183
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Ruminococcus",0.865,0.88,0.85,88,85,19135
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Sellimonas",0.05,0.06,0.04,6,4,34
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Turicimonas",0.29,0.27,0.31,27,31,262
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","Veillonella",0.355,0.3,0.41,30,41,1516
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Acidaminococcus",0.28,0.29,0.27,29,27,5933
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Adlercreutzia",0.385,0.3,0.47,30,47,532
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Alistipes",0.93,0.93,0.93,93,93,48783
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Anaeromassilibacillus",0.235,0.19,0.28,19,28,156
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Anaerotignum",0.095,0.11,0.08,11,8,256
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Bacteroides",1,1,1,100,100,155603
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Bilophila",0.54,0.5,0.58,50,58,595
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Butyricimonas",0.53,0.54,0.52,54,52,1419
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Butyrivibrio",0.155,0.14,0.17,14,17,9893
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Christensenella",0.035,0.02,0.05,2,5,14
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Clostridium",0.64,0.57,0.71,57,71,4334
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Dielma",0.085,0.06,0.11,6,11,56
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Firmicutes_unclassified",0.84,0.84,0.84,84,84,12014
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Flavonifractor",0.71,0.66,0.76,66,76,2120
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Fusicatenibacter",0.87,0.8,0.94,80,94,6010
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Holdemania",0.245,0.15,0.34,15,34,146
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Hungatella",0.13,0.08,0.18,8,18,65
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Intestinibacter",0.17,0.1,0.24,10,24,143
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Klebsiella",0.135,0.15,0.12,15,12,621
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Lactobacillus",0.26,0.23,0.29,23,29,324
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Lawsonibacter",0.625,0.56,0.69,56,69,799
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Monoglobus",0.07,0.06,0.08,6,8,113
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Parabacteroides",0.95,0.97,0.93,97,93,27185
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Paraprevotella",0.36,0.33,0.39,33,39,2748
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Proteobacteria_unclassified",0.365,0.33,0.4,33,40,3123
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Ruminococcaceae_unclassified",0.665,0.66,0.67,66,67,10316
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Ruminococcus",0.86,0.86,0.86,86,86,16794
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Sellimonas",0.05,0.03,0.07,3,7,31
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Turicimonas",0.265,0.18,0.35,18,35,225
"MetaCardis_2020_a","MetaCardis_2020_a",1,"fourfold","Veillonella",0.35,0.23,0.47,23,47,1804
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Acidaminococcus",0.265,0.26,0.27,26,27,5527
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Adlercreutzia",0.365,0.24,0.49,24,49,424
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Alistipes",0.92,0.9,0.94,90,94,44474
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Anaeromassilibacillus",0.26,0.19,0.33,19,33,108
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Anaerotignum",0.085,0.1,0.07,10,7,227
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Bacteroides",1,1,1,100,100,130298
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Bilophila",0.46,0.39,0.53,39,53,523
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Butyricimonas",0.545,0.53,0.56,53,56,1237
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Butyrivibrio",0.155,0.14,0.17,14,17,8654
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Christensenella",0.02,0,0.04,0,4,9
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Clostridium",0.605,0.51,0.7,51,70,3902
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Dielma",0.07,0.06,0.08,6,8,56
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Firmicutes_unclassified",0.775,0.74,0.81,74,81,11681
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Flavonifractor",0.65,0.55,0.75,55,75,1852
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Fusicatenibacter",0.855,0.76,0.95,76,95,5127
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Holdemania",0.245,0.15,0.34,15,34,126
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Hungatella",0.12,0.07,0.17,7,17,71
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Intestinibacter",0.17,0.08,0.26,8,26,139
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Klebsiella",0.12,0.11,0.13,11,13,342
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Lactobacillus",0.23,0.15,0.31,15,31,415
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Lawsonibacter",0.525,0.4,0.65,40,65,690
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Monoglobus",0.06,0.05,0.07,5,7,87
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Parabacteroides",0.945,0.96,0.93,96,93,24627
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Paraprevotella",0.355,0.32,0.39,32,39,2181
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Proteobacteria_unclassified",0.395,0.37,0.42,37,42,2873
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Ruminococcaceae_unclassified",0.65,0.63,0.67,63,67,9467
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Ruminococcus",0.82,0.79,0.85,79,85,15675
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Sellimonas",0.065,0.06,0.07,6,7,32
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Turicimonas",0.25,0.15,0.35,15,35,253
"MetaCardis_2020_a","MetaCardis_2020_a",1,"sixfold","Veillonella",0.32,0.19,0.45,19,45,1639
