"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Acidaminococcus",1,1,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Adlercreutzia",0.899001579865239,0.899001579865239,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Alistipes",1,1,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Anaeromassilibacillus",0.140968777062579,0.140968777062579,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Anaerotignum",0.651805853367696,0.651805853367696,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Bacteroides",0.999010772906163,0.999010772906163,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Bilophila",0.663914113911262,0.663914113911262,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Butyricimonas",0.0691363772726712,0.0691363772726712,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Butyrivibrio",1,1,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Christensenella",0.178565955007355,0.178565955007355,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Clostridium",0.554503885859861,0.554503885859861,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Dielma",1,1,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Firmicutes_unclassified",0.187657836894987,0.187657836894987,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Flavonifractor",0.657740010067663,0.657740010067663,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Fusicatenibacter",0.12317289620568,0.12317289620568,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Holdemania",1,1,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Hungatella",0.117342242117053,0.117342242117053,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Intestinibacter",0.2102105449408,0.2102105449408,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Klebsiella",0.215258345501706,0.215258345501706,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Lactobacillus",0.602625856787682,0.602625856787682,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Lawsonibacter",0.587957598589583,0.587957598589583,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Monoglobus",1,1,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Parabacteroides",0.705095315902673,0.705095315902673,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Paraprevotella",1,1,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Proteobacteria_unclassified",0.912723103785649,0.912723103785649,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Ruminococcaceae_unclassified",0.499537158997924,0.499537158997924,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Ruminococcus",1,1,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Sellimonas",0.834120132229214,0.834120132229214,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Turicimonas",0.235951010516233,0.235951010516233,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","DASRA","Veillonella",0.481709556830409,0.481709556830409,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Acidaminococcus",0.748174187048884,0.748174187048884,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Adlercreutzia",0.647870383737522,0.647870383737522,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Alistipes",0.573410640478348,0.573410640478348,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Anaeromassilibacillus",0.0727990140334959,0.0727990140334959,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Anaerotignum",0.499905288811609,0.499905288811609,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Bacteroides",0.883956291197143,0.883956291197143,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Bilophila",0.275772978379232,0.275772978379232,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Butyricimonas",0.0857957755365844,0.0857957755365844,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Butyrivibrio",0.539098001907812,0.539098001907812,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Christensenella",0.338474733653267,0.338474733653267,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Clostridium",0.909373306100378,0.909373306100378,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Dielma",0.778309201560258,0.778309201560258,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Firmicutes_unclassified",0.997430063418223,0.997430063418223,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Flavonifractor",0.536063448274075,0.536063448274075,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Fusicatenibacter",0.986108451143543,0.986108451143543,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Holdemania",0.520153321477308,0.520153321477308,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Hungatella",0.241755977330251,0.241755977330251,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Intestinibacter",0.800159749677912,0.800159749677912,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Klebsiella",0.562282784858397,0.562282784858397,TRUE,"available","available"
"MetaCardis_2020_a","MetaCardis_2020_a",1,"balanced","ZINQ Cauchy","Lactobacillus",0.370106375411637,0.370106375411637,TRUE,"available","available"
