"intersection","n","methods"
"I1",22,"metagenomeSeq"
"I2",7,"corncob | metagenomeSeq"
"I3",4,"corncob"
"I4",3,"edgeR"
"I5",2,"DESeq2"
"I6",2,"LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I7",2,"ZINQ prevalence | ZINQ combined | corncob | metagenomeSeq"
"I8",1,"corncob | DESeq2"
"I9",1,"corncob | edgeR"
"I10",1,"corncob | edgeR | DESeq2 | metagenomeSeq"
"I11",1,"DASRA present-conditional abundance | DASRA combined | MaAsLin3 abundance | MaAsLin3 combined | ZINQ abundance | ZINQ combined | LinDA | corncob | DESeq2 | metagenomeSeq"
"I12",1,"DASRA structural absence | DASRA combined | MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob | edgeR | DESeq2"
"I13",1,"edgeR | DESeq2 | metagenomeSeq"
"I14",1,"LinDA | edgeR | metagenomeSeq"
"I15",1,"MaAsLin3 combined | metagenomeSeq"
"I16",1,"MaAsLin3 prevalence | MaAsLin3 abundance | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I17",1,"MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | ANCOM-BC2 | LinDA | corncob | DESeq2 | metagenomeSeq"
"I18",1,"MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | corncob | metagenomeSeq"
"I19",1,"MaAsLin3 prevalence | MaAsLin3 combined | ZINQ prevalence | ZINQ combined | LinDA | corncob | DESeq2 | metagenomeSeq"
"I20",1,"MaAsLin3 prevalence | ZINQ prevalence | ZINQ combined | metagenomeSeq"
"I21",1,"ZINQ abundance | ZINQ combined"
